DATE,CPIAUCSL
1966/1/1,31.88
1966/2/1,32.08
1966/3/1,32.18
1966/4/1,32.28
1966/5/1,32.35
1966/6/1,32.38
1966/7/1,32.45
1966/8/1,32.65
1966/9/1,32.75
1966/10/1,32.85
1966/11/1,32.88
1966/12/1,32.92
1967/1/1,32.9
1967/2/1,33
1967/3/1,33
1967/4/1,33.1
1967/5/1,33.1
1967/6/1,33.3
1967/7/1,33.4
1967/8/1,33.5
1967/9/1,33.6
1967/10/1,33.7
1967/11/1,33.9
1967/12/1,34
1968/1/1,34.1
1968/2/1,34.2
1968/3/1,34.3
1968/4/1,34.4
1968/5/1,34.5
1968/6/1,34.7
1968/7/1,34.9
1968/8/1,35
1968/9/1,35.1
1968/10/1,35.3
1968/11/1,35.4
1968/12/1,35.6
1969/1/1,35.7
1969/2/1,35.8
1969/3/1,36.1
1969/4/1,36.3
1969/5/1,36.4
1969/6/1,36.6
1969/7/1,36.8
1969/8/1,36.9
1969/9/1,37.1
1969/10/1,37.3
1969/11/1,37.5
1969/12/1,37.7
1970/1/1,37.9
1970/2/1,38.1
1970/3/1,38.3
1970/4/1,38.5
1970/5/1,38.6
1970/6/1,38.8
1970/7/1,38.9
1970/8/1,39
1970/9/1,39.2
1970/10/1,39.4
1970/11/1,39.6
1970/12/1,39.8
1971/1/1,39.9
1971/2/1,39.9
1971/3/1,40
1971/4/1,40.1
1971/5/1,40.3
1971/6/1,40.5
1971/7/1,40.6
1971/8/1,40.7
1971/9/1,40.8
1971/10/1,40.9
1971/11/1,41
1971/12/1,41.1
1972/1/1,41.2
1972/2/1,41.4
1972/3/1,41.4
1972/4/1,41.5
1972/5/1,41.6
1972/6/1,41.7
1972/7/1,41.8
1972/8/1,41.9
1972/9/1,42.1
1972/10/1,42.2
1972/11/1,42.4
1972/12/1,42.5
1973/1/1,42.7
1973/2/1,43
1973/3/1,43.4
1973/4/1,43.7
1973/5/1,43.9
1973/6/1,44.2
1973/7/1,44.2
1973/8/1,45
1973/9/1,45.2
1973/10/1,45.6
1973/11/1,45.9
1973/12/1,46.3
1974/1/1,46.8
1974/2/1,47.3
1974/3/1,47.8
1974/4/1,48.1
1974/5/1,48.6
1974/6/1,49
1974/7/1,49.3
1974/8/1,49.9
1974/9/1,50.6
1974/10/1,51
1974/11/1,51.5
1974/12/1,51.9
1975/1/1,52.3
1975/2/1,52.6
1975/3/1,52.8
1975/4/1,53
1975/5/1,53.1
1975/6/1,53.5
1975/7/1,54
1975/8/1,54.2
1975/9/1,54.6
1975/10/1,54.9
1975/11/1,55.3
1975/12/1,55.6
1976/1/1,55.8
1976/2/1,55.9
1976/3/1,56
1976/4/1,56.1
1976/5/1,56.4
1976/6/1,56.7
1976/7/1,57
1976/8/1,57.3
1976/9/1,57.6
1976/10/1,57.9
1976/11/1,58.1
1976/12/1,58.4
1977/1/1,58.7
1977/2/1,59.3
1977/3/1,59.6
1977/4/1,60
1977/5/1,60.2
1977/6/1,60.5
1977/7/1,60.8
1977/8/1,61.1
1977/9/1,61.3
1977/10/1,61.6
1977/11/1,62
1977/12/1,62.3
1978/1/1,62.7
1978/2/1,63
1978/3/1,63.4
1978/4/1,63.9
1978/5/1,64.5
1978/6/1,65
1978/7/1,65.5
1978/8/1,65.9
1978/9/1,66.5
1978/10/1,67.1
1978/11/1,67.5
1978/12/1,67.9
1979/1/1,68.5
1979/2/1,69.2
1979/3/1,69.9
1979/4/1,70.6
1979/5/1,71.4
1979/6/1,72.2
1979/7/1,73
1979/8/1,73.7
1979/9/1,74.4
1979/10/1,75.2
1979/11/1,76
1979/12/1,76.9
1980/1/1,78
1980/2/1,79
1980/3/1,80.1
1980/4/1,80.9
1980/5/1,81.7
1980/6/1,82.5
1980/7/1,82.6
1980/8/1,83.2
1980/9/1,83.9
1980/10/1,84.7
1980/11/1,85.6
1980/12/1,86.4
1981/1/1,87.2
1981/2/1,88
1981/3/1,88.6
1981/4/1,89.1
1981/5/1,89.7
1981/6/1,90.5
1981/7/1,91.5
1981/8/1,92.2
1981/9/1,93.1
1981/10/1,93.4
1981/11/1,93.8
1981/12/1,94.1
1982/1/1,94.4
1982/2/1,94.7
1982/3/1,94.7
1982/4/1,95
1982/5/1,95.9
1982/6/1,97
1982/7/1,97.5
1982/8/1,97.7
1982/9/1,97.7
1982/10/1,98.1
1982/11/1,98
1982/12/1,97.7
1983/1/1,97.9
1983/2/1,98
1983/3/1,98.1
1983/4/1,98.8
1983/5/1,99.2
1983/6/1,99.4
1983/7/1,99.8
1983/8/1,100.1
1983/9/1,100.4
1983/10/1,100.8
1983/11/1,101.1
1983/12/1,101.4
1984/1/1,102.1
1984/2/1,102.6
1984/3/1,102.9
1984/4/1,103.3
1984/5/1,103.5
1984/6/1,103.7
1984/7/1,104.1
1984/8/1,104.4
1984/9/1,104.7
1984/10/1,105.1
1984/11/1,105.3
1984/12/1,105.5
1985/1/1,105.7
1985/2/1,106.3
1985/3/1,106.8
1985/4/1,107
1985/5/1,107.2
1985/6/1,107.5
1985/7/1,107.7
1985/8/1,107.9
1985/9/1,108.1
1985/10/1,108.5
1985/11/1,109
1985/12/1,109.5
1986/1/1,109.9
1986/2/1,109.7
1986/3/1,109.1
1986/4/1,108.7
1986/5/1,109
1986/6/1,109.4
1986/7/1,109.5
1986/8/1,109.6
1986/9/1,110
1986/10/1,110.2
1986/11/1,110.4
1986/12/1,110.8
1987/1/1,111.4
1987/2/1,111.8
1987/3/1,112.2
1987/4/1,112.7
1987/5/1,113
1987/6/1,113.5
1987/7/1,113.8
1987/8/1,114.3
1987/9/1,114.7
1987/10/1,115
1987/11/1,115.4
1987/12/1,115.6
1988/1/1,116
1988/2/1,116.2
1988/3/1,116.5
1988/4/1,117.2
1988/5/1,117.5
1988/6/1,118
1988/7/1,118.5
1988/8/1,119
1988/9/1,119.5
1988/10/1,119.9
1988/11/1,120.3
1988/12/1,120.7
1989/1/1,121.2
1989/2/1,121.6
1989/3/1,122.2
1989/4/1,123.1
1989/5/1,123.7
1989/6/1,124.1
1989/7/1,124.5
1989/8/1,124.5
1989/9/1,124.8
1989/10/1,125.4
1989/11/1,125.9
1989/12/1,126.3
1990/1/1,127.5
1990/2/1,128
1990/3/1,128.6
1990/4/1,128.9
1990/5/1,129.1
1990/6/1,129.9
1990/7/1,130.5
1990/8/1,131.6
1990/9/1,132.5
1990/10/1,133.4
1990/11/1,133.7
1990/12/1,134.2
1991/1/1,134.7
1991/2/1,134.8
1991/3/1,134.8
1991/4/1,135.1
1991/5/1,135.6
1991/6/1,136
1991/7/1,136.2
1991/8/1,136.6
1991/9/1,137
1991/10/1,137.2
1991/11/1,137.8
1991/12/1,138.2
1992/1/1,138.3
1992/2/1,138.6
1992/3/1,139.1
1992/4/1,139.4
1992/5/1,139.7
1992/6/1,140.1
1992/7/1,140.5
1992/8/1,140.8
1992/9/1,141.1
1992/10/1,141.7
1992/11/1,142.1
1992/12/1,142.3
1993/1/1,142.8
1993/2/1,143.1
1993/3/1,143.3
1993/4/1,143.8
1993/5/1,144.2
1993/6/1,144.3
1993/7/1,144.5
1993/8/1,144.8
1993/9/1,145
1993/10/1,145.6
1993/11/1,146
1993/12/1,146.3
1994/1/1,146.3
1994/2/1,146.7
1994/3/1,147.1
1994/4/1,147.2
1994/5/1,147.5
1994/6/1,147.9
1994/7/1,148.4
1994/8/1,149
1994/9/1,149.3
1994/10/1,149.4
1994/11/1,149.8
1994/12/1,150.1
1995/1/1,150.5
1995/2/1,150.9
1995/3/1,151.2
1995/4/1,151.8
1995/5/1,152.1
1995/6/1,152.4
1995/7/1,152.6
1995/8/1,152.9
1995/9/1,153.1
1995/10/1,153.5
1995/11/1,153.7
1995/12/1,153.9
1996/1/1,154.7
1996/2/1,155
1996/3/1,155.5
1996/4/1,156.1
1996/5/1,156.4
1996/6/1,156.7
1996/7/1,157
1996/8/1,157.2
1996/9/1,157.7
1996/10/1,158.2
1996/11/1,158.7
1996/12/1,159.1
1997/1/1,159.4
1997/2/1,159.7
1997/3/1,159.8
1997/4/1,159.9
1997/5/1,159.9
1997/6/1,160.2
1997/7/1,160.4
1997/8/1,160.8
1997/9/1,161.2
1997/10/1,161.5
1997/11/1,161.7
1997/12/1,161.8
1998/1/1,162
1998/2/1,162
1998/3/1,162
1998/4/1,162.2
1998/5/1,162.6
1998/6/1,162.8
1998/7/1,163.2
1998/8/1,163.4
1998/9/1,163.5
1998/10/1,163.9
1998/11/1,164.1
1998/12/1,164.4
1999/1/1,164.7
1999/2/1,164.7
1999/3/1,164.8
1999/4/1,165.9
1999/5/1,166
1999/6/1,166
1999/7/1,166.7
1999/8/1,167.1
1999/9/1,167.8
1999/10/1,168.1
1999/11/1,168.4
1999/12/1,168.8
2000/1/1,169.3
2000/2/1,170
2000/3/1,171
2000/4/1,170.9
2000/5/1,171.2
2000/6/1,172.2
2000/7/1,172.7
2000/8/1,172.7
2000/9/1,173.6
2000/10/1,173.9
2000/11/1,174.2
2000/12/1,174.6
2001/1/1,175.6
2001/2/1,176
2001/3/1,176.1
2001/4/1,176.4
2001/5/1,177.3
2001/6/1,177.7
2001/7/1,177.4
2001/8/1,177.4
2001/9/1,178.1
2001/10/1,177.6
2001/11/1,177.5
2001/12/1,177.4
2002/1/1,177.7
2002/2/1,178
2002/3/1,178.5
2002/4/1,179.3
2002/5/1,179.5
2002/6/1,179.6
2002/7/1,180
2002/8/1,180.5
2002/9/1,180.8
2002/10/1,181.2
2002/11/1,181.5
2002/12/1,181.8
2003/1/1,182.6
2003/2/1,183.6
2003/3/1,183.9
2003/4/1,183.2
2003/5/1,182.9
2003/6/1,183.1
2003/7/1,183.7
2003/8/1,184.5
2003/9/1,185.1
2003/10/1,184.9
2003/11/1,185
2003/12/1,185.5
2004/1/1,186.3
2004/2/1,186.7
2004/3/1,187.1
2004/4/1,187.4
2004/5/1,188.2
2004/6/1,188.9
2004/7/1,189.1
2004/8/1,189.2
2004/9/1,189.8
2004/10/1,190.8
2004/11/1,191.7
2004/12/1,191.7
2005/1/1,191.6
2005/2/1,192.4
2005/3/1,193.1
2005/4/1,193.7
2005/5/1,193.6
2005/6/1,193.7
2005/7/1,194.9
2005/8/1,196.1
2005/9/1,198.8
2005/10/1,199.1
2005/11/1,198.1
2005/12/1,198.1
2006/1/1,199.3
2006/2/1,199.4
2006/3/1,199.7
2006/4/1,200.7
2006/5/1,201.3
2006/6/1,201.8
2006/7/1,202.9
2006/8/1,203.8
2006/9/1,202.8
2006/10/1,201.9
2006/11/1,202
2006/12/1,203.1
2007/1/1,203.437
2007/2/1,204.226
2007/3/1,205.288
2007/4/1,205.904
2007/5/1,206.755
2007/6/1,207.234
2007/7/1,207.603
2007/8/1,207.667
2007/9/1,208.547
2007/10/1,209.19
2007/11/1,210.834
2007/12/1,211.445
2008/1/1,212.174
2008/2/1,212.687
2008/3/1,213.448
2008/4/1,213.942
2008/5/1,215.208
2008/6/1,217.463
2008/7/1,219.016
2008/8/1,218.69
2008/9/1,218.877
2008/10/1,216.995
2008/11/1,213.153
2008/12/1,211.398
2009/1/1,211.933
2009/2/1,212.705
2009/3/1,212.495
2009/4/1,212.709
2009/5/1,213.022
2009/6/1,214.79
2009/7/1,214.726
2009/8/1,215.445
2009/9/1,215.861
2009/10/1,216.509
2009/11/1,217.234
2009/12/1,217.347
2010/1/1,217.488
2010/2/1,217.281
2010/3/1,217.353
2010/4/1,217.403
2010/5/1,217.29
2010/6/1,217.199
2010/7/1,217.605
2010/8/1,217.923
2010/9/1,218.275
2010/10/1,219.035
2010/11/1,219.59
2010/12/1,220.472
2011/1/1,221.187
2011/2/1,221.898
2011/3/1,223.046
2011/4/1,224.093
2011/5/1,224.806
2011/6/1,224.806
2011/7/1,225.395
2011/8/1,226.106
2011/9/1,226.597
2011/10/1,226.75
2011/11/1,227.169
2011/12/1,227.223
2012/1/1,227.842
2012/2/1,228.329
2012/3/1,228.807
2012/4/1,229.187
2012/5/1,228.713
2012/6/1,228.524
2012/7/1,228.59
2012/8/1,229.918
2012/9/1,231.015
2012/10/1,231.638
2012/11/1,231.249
2012/12/1,231.221
2013/1/1,231.679
2013/2/1,232.937
2013/3/1,232.282
2013/4/1,231.797
2013/5/1,231.893
2013/6/1,232.445
2013/7/1,232.9
2013/8/1,233.456
2013/9/1,233.544
2013/10/1,233.669
2013/11/1,234.1
2013/12/1,234.719
2014/1/1,235.288
2014/2/1,235.547
2014/3/1,236.028
2014/4/1,236.468
2014/5/1,236.918
2014/6/1,237.231
2014/7/1,237.498
2014/8/1,237.46
2014/9/1,237.477
2014/10/1,237.43
2014/11/1,236.983
2014/12/1,236.252
2015/1/1,234.747
2015/2/1,235.342
2015/3/1,235.976
2015/4/1,236.222
2015/5/1,237.001
2015/6/1,237.657
2015/7/1,238.034
2015/8/1,238.033
2015/9/1,237.498
2015/10/1,237.733
2015/11/1,238.017
2015/12/1,237.761
2016/1/1,237.652
2016/2/1,237.336
2016/3/1,238.08
2016/4/1,238.992
2016/5/1,239.557
2016/6/1,240.222
2016/7/1,240.101
2016/8/1,240.545
2016/9/1,241.176
2016/10/1,241.741
2016/11/1,242.026
2016/12/1,242.637
2017/1/1,243.618
2017/2/1,244.006
2017/3/1,243.892
2017/4/1,244.193
2017/5/1,244.004
2017/6/1,244.163
2017/7/1,244.243
2017/8/1,245.183
2017/9/1,246.435
2017/10/1,246.626
2017/11/1,247.284
2017/12/1,247.805
2018/1/1,248.859
2018/2/1,249.529
2018/3/1,249.577
2018/4/1,250.227
2018/5/1,250.792
2018/6/1,251.018
2018/7/1,251.214
2018/8/1,251.663
2018/9/1,252.182
2018/10/1,252.772
2018/11/1,252.594
2018/12/1,252.767
2019/1/1,252.718
2019/2/1,253.322
2019/3/1,254.202
2019/4/1,255.211
2019/5/1,255.29
2019/6/1,255.159
2019/7/1,255.685
2019/8/1,256.059
2019/9/1,256.511
2019/10/1,257.244
2019/11/1,257.803
2019/12/1,258.616
2020/1/1,259.037
2020/2/1,259.248
2020/3/1,258.124
2020/4/1,256.092
2020/5/1,255.868
2020/6/1,256.986
2020/7/1,258.278
2020/8/1,259.411
2020/9/1,260.029
2020/10/1,260.286
2020/11/1,260.813
2020/12/1,262.035
2021/1/1,262.65
2021/2/1,263.638
2021/3/1,264.914
2021/4/1,266.67
2021/5/1,268.444
2021/6/1,270.559
2021/7/1,271.764
2021/8/1,272.87
2021/9/1,274.028
2021/10/1,276.522
2021/11/1,278.711
2021/12/1,280.887
2022/1/1,282.599
2022/2/1,284.61
2022/3/1,287.472
2022/4/1,288.611
2022/5/1,291.268
2022/6/1,294.728
2022/7/1,294.628
2022/8/1,295.32
2022/9/1,296.539
2022/10/1,297.987
2022/11/1,298.598
2022/12/1,298.99
2023/1/1,300.536
2023/2/1,301.648
2023/3/1,301.808
